Order;PID;MS Zoning;Lot Frontage;Lot Area;Street;Lot Config;Neighborhood;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add;Roof Style;Roof Matl;Exterior 1st;Exterior 2nd;Exter Qual;Foundation;Total Bsmt SF;Heating;Gr Liv Area;Full Bath;Half Bath;Bedroom AbvGr;Kitchen AbvGr;TotRms AbvGrd;Fireplaces;Garage Type;Garage Yr Blt;Garage Cars;Garage Area;Pool Area;Fence;Misc Feature;Misc Val;Mo Sold;Yr Sold;SalePrice;SalePrice_log;Lot Area_log;Total Bsmt SF_log;TotalPorchSF;HouseAge;YearsSinceRemodel;IsRenovated;GrLivArea_m2;LotArea_boxcox;SalePrice_boxcox
1;526301100;RL;141.0;31770;Pave;Corner;NAmes;1Fam;1Story;6;5;1960;1960;Hip;CompShg;BrkFace;Plywood;TA;CBlock;1080.0;GasA;1656;1;0;3;1;7;2;Attchd;1960.0;2.0;528.0;0;NoFence;NoFeature;0;5;2010;215000;12.2783933071098;10.366277727263562;6.985641817639208;62;50;50;0;153.85;21.838721298737347;12.873066463855658
2;526350040;RH;80.0;11622;Pave;Inside;NAmes;1Fam;1Story;5;6;1961;1961;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;882.0;GasA;896;1;0;2;1;5;0;Attchd;1961.0;1.0;730.0;0;MnPrv;NoFeature;0;6;2010;105000;11.56171562913966;9.360655132635051;6.78332520060396;120;49;49;0;83.24;18.229457190246904;12.088017145604054
3;526351010;RL;81.0;14267;Pave;Corner;NAmes;1Fam;1Story;6;6;1958;1958;Hip;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;1329.0;GasA;1329;1;1;3;1;6;0;Attchd;1958.0;1.0;312.0;0;NoFence;Gar2;12500;6;2010;172000;12.05524975579559;9.565704457114814;7.1929342212158;36;52;52;0;123.47;18.927750112628935;12.628173596085706
4;526353030;RL;93.0;11160;Pave;Corner;NAmes;1Fam;1Story;7;5;1968;1968;Hip;CompShg;BrkFace;BrkFace;Gd;CBlock;2110.0;GasA;2110;2;1;3;1;8;2;Attchd;1968.0;2.0;522.0;0;NoFence;NoFeature;0;4;2010;244000;12.404923504275338;9.320091235935301;7.65491704784832;0;42;42;0;196.03;18.09350048915033;13.012114984802873
5;527105010;RL;74.0;13830;Pave;Inside;Gilbert;1Fam;2Story;5;5;1997;1998;Gable;CompShg;VinylSd;VinylSd;TA;PConc;928.0;GasA;1629;2;1;3;1;6;1;Attchd;1997.0;2.0;482.0;0;MnPrv;NoFeature;0;3;2010;189900;12.154252896800378;9.534595424658804;6.834108738813838;34;13;12;1;151.34;18.82061196164754;12.736774806360518
6;527105030;RL;78.0;9978;Pave;Inside;Gilbert;1Fam;2Story;6;6;1998;1998;Gable;CompShg;VinylSd;VinylSd;TA;PConc;926.0;GasA;1604;2;1;3;1;7;1;Attchd;1998.0;2.0;470.0;0;NoFence;NoFeature;0;6;2010;195500;12.183315658407558;9.208137948420983;6.831953565565855;36;12;12;0;149.02;17.72195442458543;12.76867072685869
7;527127150;RL;41.0;4920;Pave;Inside;StoneBr;TwnhsE;1Story;8;5;2001;2001;Gable;CompShg;CemntBd;CmentBd;Gd;PConc;1338.0;GasA;1338;2;0;2;1;6;0;Attchd;2001.0;2.0;582.0;0;NoFence;NoFeature;0;4;2010;213500;12.271392111650817;8.501063809486354;7.199678345691172;170;9;9;0;124.3;15.49577871361421;12.865376527882416
8;527145080;RL;43.0;5005;Pave;Inside;StoneBr;TwnhsE;1Story;8;5;1992;1992;Gable;CompShg;HdBoard;HdBoard;Gd;PConc;1280.0;GasA;1280;2;0;2;1;5;0;Attchd;1992.0;2.0;506.0;0;NoFence;NoFeature;0;1;2010;191500;12.162643087602838;8.518192691749322;7.155396301896734;226;18;18;0;118.92;15.54733388284057;12.745982180318785
9;527146030;RL;39.0;5389;Pave;Inside;StoneBr;TwnhsE;1Story;8;5;1995;1996;Gable;CompShg;CemntBd;CmentBd;Gd;PConc;1595.0;GasA;1616;2;0;2;1;5;1;Attchd;1995.0;2.0;608.0;0;NoFence;NoFeature;0;3;2010;236500;12.373703486914124;8.592115117933497;7.3752557780097545;152;15;14;1;150.13;15.77114473003737;12.977793701362641
10;527162130;RL;60.0;7500;Pave;Inside;Gilbert;1Fam;2Story;7;5;1999;1999;Gable;CompShg;VinylSd;VinylSd;TA;PConc;994.0;GasA;1804;2;1;3;1;7;1;Attchd;1999.0;2.0;442.0;0;NoFence;NoFeature;0;6;2010;189000;12.14950229404178;8.922658299524402;6.902742737158593;60;11;11;0;167.6;16.798539318489834;12.73156176885984
11;527163010;RL;75.0;10000;Pave;Corner;Gilbert;1Fam;2Story;6;5;1993;1994;Gable;CompShg;HdBoard;HdBoard;TA;PConc;763.0;GasA;1655;2;1;3;1;7;1;Attchd;1993.0;2.0;440.0;0;NoFence;NoFeature;0;4;2010;175900;12.077670930725649;9.210340371976184;6.638567789166521;84;17;16;1;153.75;17.729211922331707;12.652761240828957
12;527165230;RL;69.22;7980;Pave;Inside;Gilbert;1Fam;1Story;6;7;1992;2007;Gable;CompShg;HdBoard;HdBoard;TA;PConc;1168.0;GasA;1187;2;0;3;1;6;0;Attchd;1992.0;2.0;420.0;0;GdPrv;Shed;500;3;2010;185000;12.128111104060462;8.984693690443855;7.063903961472068;21;18;3;1;110.28;16.99630686983283;12.708090655841389
13;527166040;RL;63.0;8402;Pave;Inside;Gilbert;1Fam;2Story;6;5;1998;1998;Gable;CompShg;VinylSd;VinylSd;TA;PConc;789.0;GasA;1465;2;1;3;1;7;1;Attchd;1998.0;2.0;393.0;0;NoFence;NoFeature;0;5;2010;180400;12.10293188661066;9.036225051729327;6.672032945461067;75;12;12;0;136.1;17.161800014051835;12.680468112376213
14;527180040;RL;85.0;10176;Pave;Inside;Gilbert;1Fam;1Story;7;5;1990;1990;Gable;CompShg;HdBoard;HdBoard;TA;PConc;1300.0;GasA;1341;1;1;2;1;5;1;Attchd;1990.0;2.0;506.0;0;NoFence;NoFeature;0;2;2010;171500;12.052338545588132;9.227787285579904;7.170888478512505;0;20;20;0;124.58;17.786776757148516;12.62498139619984
15;527182190;RL;0.0;6820;Pave;Corner;StoneBr;TwnhsE;1Story;8;5;1985;1985;Gable;CompShg;HdBoard;HdBoard;Gd;PConc;1488.0;GasA;1502;1;1;1;1;4;0;Attchd;1985.0;2.0;528.0;0;NoFence;NoFeature;0;6;2010;212000;12.26434155365415;8.827614750837508;7.305860032684009;194;25;25;0;139.54;16.49860716611353;12.857632789251452
16;527216070;RL;47.0;53504;Pave;CulDSac;StoneBr;1Fam;2Story;8;5;2003;2003;Hip;CompShg;CemntBd;Wd Shng;Ex;PConc;1650.0;GasA;3279;3;1;4;1;12;1;BuiltIn;2003.0;3.0;841.0;0;NoFence;NoFeature;0;6;2010;538000;13.195613839143922;10.887511696444374;7.409136443920128;246;7;7;0;304.63;23.902788139039835;13.884085439792807
17;527225035;RL;152.0;12134;Pave;Inside;Gilbert;1Fam;1.5Fin;8;7;1988;2005;Gable;CompShg;Wd Sdng;Wd Sdng;Gd;Wood;559.0;GasA;1752;2;0;4;1;8;0;Basment;1988.0;2.0;492.0;0;NoFence;NoFeature;0;6;2010;164000;12.007621706806335;9.403766708502243;6.327936783729195;12;22;5;1;162.77;18.374737808155096;12.575957418060694
18;527258010;RL;88.0;11394;Pave;Corner;StoneBr;1Fam;1Story;9;2;2010;2010;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1856.0;GasA;1856;1;1;1;1;8;1;Attchd;2010.0;3.0;834.0;0;NoFence;NoFeature;0;6;2010;394432;12.885202034321916;9.34084218004034;7.526717561352706;0;0;0;0;172.43;18.162961539559547;13.54113589528582
19;527276150;RL;140.0;19138;Pave;Corner;Gilbert;1Fam;1Story;4;5;1951;1951;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;864.0;GasA;864;1;0;2;1;4;0;Detchd;1951.0;2.0;400.0;0;NoFence;NoFeature;0;6;2010;141000;11.856515169360305;9.859431166339208;6.762729506931879;0;59;59;0;80.27;19.960893531394753;12.410420188632433
20;527302110;RL;85.0;13175;Pave;Inside;NWAmes;1Fam;1Story;6;6;1978;1988;Gable;CompShg;Plywood;Plywood;TA;CBlock;1542.0;GasA;2073;2;0;3;1;7;2;Attchd;1978.0;2.0;500.0;0;MnPrv;NoFeature;0;2;2010;210000;12.254862809699606;9.486076373409563;7.341483852363161;0;32;22;1;192.59;18.654373542061766;12.84722279351664
21;527358140;RL;105.0;11751;Pave;Inside;NWAmes;1Fam;1Story;6;6;1977;1977;Hip;CompShg;Plywood;Plywood;TA;CBlock;1844.0;GasA;1844;2;0;3;1;7;1;Attchd;1977.0;2.0;546.0;0;MnPrv;NoFeature;0;1;2010;190000;12.154779351142624;9.371693622333941;7.520234556474628;122;33;33;0;171.31;18.266578311629033;12.73735251864711
