Order;PID;MS Zoning;Lot Frontage;Lot Area;Street;Lot Config;Neighborhood;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add;Roof Style;Roof Matl;Exterior 1st;Exterior 2nd;Exter Qual;Foundation;Total Bsmt SF;Heating;1st Flr SF;2nd Flr SF;Gr Liv Area;Full Bath;Half Bath;Bedroom AbvGr;Kitchen AbvGr;TotRms AbvGrd;Fireplaces;Garage Type;Garage Yr Blt;Garage Cars;Garage Area;Open Porch SF;Enclosed Porch;3Ssn Porch;Screen Porch;Pool Area;Fence;Misc Feature;Misc Val;Mo Sold;Yr Sold;SalePrice
1;526301100;RL;141.0;31770;Pave;Corner;NAmes;1Fam;1Story;6;5;1960;1960;Hip;CompShg;BrkFace;Plywood;TA;CBlock;1080.0;GasA;1656;0;1656;1;0;3;1;7;2;Attchd;1960.0;2.0;528.0;62;0;0;0;0;;;0;5;2010;215000
2;526350040;RH;80.0;11622;Pave;Inside;NAmes;1Fam;1Story;5;6;1961;1961;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;882.0;GasA;896;0;896;1;0;2;1;5;0;Attchd;1961.0;1.0;730.0;0;0;0;120;0;MnPrv;;0;6;2010;105000
3;526351010;RL;81.0;14267;Pave;Corner;NAmes;1Fam;1Story;6;6;1958;1958;Hip;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;1329.0;GasA;1329;0;1329;1;1;3;1;6;0;Attchd;1958.0;1.0;312.0;36;0;0;0;0;;Gar2;12500;6;2010;172000
4;526353030;RL;93.0;11160;Pave;Corner;NAmes;1Fam;1Story;7;5;1968;1968;Hip;CompShg;BrkFace;BrkFace;Gd;CBlock;2110.0;GasA;2110;0;2110;2;1;3;1;8;2;Attchd;1968.0;2.0;522.0;0;0;0;0;0;;;0;4;2010;244000
5;527105010;RL;74.0;13830;Pave;Inside;Gilbert;1Fam;2Story;5;5;1997;1998;Gable;CompShg;VinylSd;VinylSd;TA;PConc;928.0;GasA;928;701;1629;2;1;3;1;6;1;Attchd;1997.0;2.0;482.0;34;0;0;0;0;MnPrv;;0;3;2010;189900
6;527105030;RL;78.0;9978;Pave;Inside;Gilbert;1Fam;2Story;6;6;1998;1998;Gable;CompShg;VinylSd;VinylSd;TA;PConc;926.0;GasA;926;678;1604;2;1;3;1;7;1;Attchd;1998.0;2.0;470.0;36;0;0;0;0;;;0;6;2010;195500
7;527127150;RL;41.0;4920;Pave;Inside;StoneBr;TwnhsE;1Story;8;5;2001;2001;Gable;CompShg;CemntBd;CmentBd;Gd;PConc;1338.0;GasA;1338;0;1338;2;0;2;1;6;0;Attchd;2001.0;2.0;582.0;0;170;0;0;0;;;0;4;2010;213500
8;527145080;RL;43.0;5005;Pave;Inside;StoneBr;TwnhsE;1Story;8;5;1992;1992;Gable;CompShg;HdBoard;HdBoard;Gd;PConc;1280.0;GasA;1280;0;1280;2;0;2;1;5;0;Attchd;1992.0;2.0;506.0;82;0;0;144;0;;;0;1;2010;191500
9;527146030;RL;39.0;5389;Pave;Inside;StoneBr;TwnhsE;1Story;8;5;1995;1996;Gable;CompShg;CemntBd;CmentBd;Gd;PConc;1595.0;GasA;1616;0;1616;2;0;2;1;5;1;Attchd;1995.0;2.0;608.0;152;0;0;0;0;;;0;3;2010;236500
10;527162130;RL;60.0;7500;Pave;Inside;Gilbert;1Fam;2Story;7;5;1999;1999;Gable;CompShg;VinylSd;VinylSd;TA;PConc;994.0;GasA;1028;776;1804;2;1;3;1;7;1;Attchd;1999.0;2.0;442.0;60;0;0;0;0;;;0;6;2010;189000
11;527163010;RL;75.0;10000;Pave;Corner;Gilbert;1Fam;2Story;6;5;1993;1994;Gable;CompShg;HdBoard;HdBoard;TA;PConc;763.0;GasA;763;892;1655;2;1;3;1;7;1;Attchd;1993.0;2.0;440.0;84;0;0;0;0;;;0;4;2010;175900
12;527165230;RL;;7980;Pave;Inside;Gilbert;1Fam;1Story;6;7;1992;2007;Gable;CompShg;HdBoard;HdBoard;TA;PConc;1168.0;GasA;1187;0;1187;2;0;3;1;6;0;Attchd;1992.0;2.0;420.0;21;0;0;0;0;GdPrv;Shed;500;3;2010;185000
13;527166040;RL;63.0;8402;Pave;Inside;Gilbert;1Fam;2Story;6;5;1998;1998;Gable;CompShg;VinylSd;VinylSd;TA;PConc;789.0;GasA;789;676;1465;2;1;3;1;7;1;Attchd;1998.0;2.0;393.0;75;0;0;0;0;;;0;5;2010;180400
14;527180040;RL;85.0;10176;Pave;Inside;Gilbert;1Fam;1Story;7;5;1990;1990;Gable;CompShg;HdBoard;HdBoard;TA;PConc;1300.0;GasA;1341;0;1341;1;1;2;1;5;1;Attchd;1990.0;2.0;506.0;0;0;0;0;0;;;0;2;2010;171500
15;527182190;RL;;6820;Pave;Corner;StoneBr;TwnhsE;1Story;8;5;1985;1985;Gable;CompShg;HdBoard;HdBoard;Gd;PConc;1488.0;GasA;1502;0;1502;1;1;1;1;4;0;Attchd;1985.0;2.0;528.0;54;0;0;140;0;;;0;6;2010;212000
16;527216070;RL;47.0;53504;Pave;CulDSac;StoneBr;1Fam;2Story;8;5;2003;2003;Hip;CompShg;CemntBd;Wd Shng;Ex;PConc;1650.0;GasA;1690;1589;3279;3;1;4;1;12;1;BuiltIn;2003.0;3.0;841.0;36;0;0;210;0;;;0;6;2010;538000
17;527225035;RL;152.0;12134;Pave;Inside;Gilbert;1Fam;1.5Fin;8;7;1988;2005;Gable;CompShg;Wd Sdng;Wd Sdng;Gd;Wood;559.0;GasA;1080;672;1752;2;0;4;1;8;0;Basment;1988.0;2.0;492.0;12;0;0;0;0;;;0;6;2010;164000
18;527258010;RL;88.0;11394;Pave;Corner;StoneBr;1Fam;1Story;9;2;2010;2010;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1856.0;GasA;1856;0;1856;1;1;1;1;8;1;Attchd;2010.0;3.0;834.0;0;0;0;0;0;;;0;6;2010;394432
19;527276150;RL;140.0;19138;Pave;Corner;Gilbert;1Fam;1Story;4;5;1951;1951;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;864.0;GasA;864;0;864;1;0;2;1;4;0;Detchd;1951.0;2.0;400.0;0;0;0;0;0;;;0;6;2010;141000
20;527302110;RL;85.0;13175;Pave;Inside;NWAmes;1Fam;1Story;6;6;1978;1988;Gable;CompShg;Plywood;Plywood;TA;CBlock;1542.0;GasA;2073;0;2073;2;0;3;1;7;2;Attchd;1978.0;2.0;500.0;0;0;0;0;0;MnPrv;;0;2;2010;210000
21;527358140;RL;105.0;11751;Pave;Inside;NWAmes;1Fam;1Story;6;6;1977;1977;Hip;CompShg;Plywood;Plywood;TA;CBlock;1844.0;GasA;1844;0;1844;2;0;3;1;7;1;Attchd;1977.0;2.0;546.0;122;0;0;0;0;MnPrv;;0;1;2010;190000
22;527358200;RL;85.0;10625;Pave;Inside;NWAmes;1Fam;SFoyer;7;6;1974;1974;Gable;CompShg;Plywood;Plywood;TA;CBlock;1053.0;GasA;1173;0;1173;2;0;3;1;6;2;Attchd;1974.0;2.0;528.0;120;0;0;0;0;MnPrv;;0;1;2010;170000
23;527368020;FV;;7500;Pave;Inside;Somerst;1Fam;2Story;7;5;2000;2000;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;814.0;GasA;814;860;1674;2;1;3;1;7;0;Attchd;2000.0;2.0;663.0;96;0;0;0;0;;;0;1;2010;216000
24;527402200;RL;;11241;Pave;CulDSac;NAmes;1Fam;1Story;6;7;1970;1970;Gable;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;1004.0;GasA;1004;0;1004;1;0;2;1;5;1;Attchd;1970.0;2.0;480.0;0;0;0;0;0;;Shed;700;3;2010;149000
25;527402250;RL;;12537;Pave;CulDSac;NAmes;1Fam;1Story;5;6;1971;2008;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;1078.0;GasA;1078;0;1078;1;1;3;1;6;1;Attchd;1971.0;2.0;500.0;0;0;0;0;0;;;0;4;2010;149900
26;527403020;RL;65.0;8450;Pave;Inside;NAmes;1Fam;1Story;5;6;1968;1968;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;1056.0;GasA;1056;0;1056;1;0;3;1;6;1;Attchd;1968.0;1.0;304.0;85;184;0;0;0;;;0;7;2010;142000
